"","Curso lectivo","Nombre","Region","Provincia","Canton","Distrito","Poblado","Hombres","Mujeres"
"1","2009","East Side High School","Alajuela","Alajuela","Alajuela","Alajuela","El Brasil","39","55"
"2","2009","T.v. Boca Rio San Carlos","San Carlos","Alajuela","San Carlos","Pital","Boca Rio San Carlos","15","10"
"3","2009","Cientifico Alajuela","Alajuela","Alajuela","Alajuela","Alajuela","Cristo Rey","26","13"
"4","2009","Maria Auxiliadora","San Jose","San Jose","San Jose","Mata Redonda","Don Bosco","0","164"
"5","2009","T.v. Coope San Juan","San Carlos","Alajuela","San Carlos","Pital","Coope San Juan","12","11"
"6","2009","Liceo De Tarrazu","Los Santos","San Jose","Tarrazu","San Marcos","Santa Cecilia","435","515"
"7","2009","Liceo Rural San Carlos Tarrazu","Los Santos","San Jose","Tarrazu","San Carlos","San Carlos","26","72"
"8","2009","Liceo Maria Auxiliadora","San Jose","San Jose","San Jose","Hospital","Don Bosco","0","342"
"9","2009","Pindeco","Grande De Terraba","Puntarenas","Buenos Aires","Buenos Aires","Zona Adm. Pindeco","10","10"
"10","2009","Saint George High School","San Jose","San Jose","San Jose","Hospital","Don Bosco","44","29"
"11","2009","Secc.noct.c.t.p. Jose Daniel Flores","Los Santos","San Jose","Dota","Santa Maria","Santa Maria","17","42"
"12","2009","C.t.p. Jose Daniel Flores","Los Santos","San Jose","Dota","Santa Maria","Santa Maria","311","315"
"13","2009","Liceo Rural Salitre","Grande De Terraba","Puntarenas","Buenos Aires","Buenos Aires","Salitre","25","19"
"14","2009","Colegio El Saino","San Carlos","Alajuela","San Carlos","Pital","El Saino","60","81"
"15","2009","Unesco","Perez Zeledon","San Jose","Perez Zeledon","San Isidro","Unesco","853","840"
"16","2009","T.v. Boca Tapada","San Carlos","Alajuela","San Carlos","Pital","Boca Tapada","16","13"
"17","2009","Liceo Buenos Aires","Grande De Terraba","Puntarenas","Buenos Aires","Buenos Aires","Los Angeles","154","204"
"18","2009","Científico Perez Zeledon","Perez Zeledon","San Jose","Perez Zeledon","San Isidro","B° Sinaí","30","20"
"19","2009","Instituto De Alajuela","Alajuela","Alajuela","Alajuela","Alajuela","Plaza Acosta","898","935"
"20","2009","Liceo Los Angeles","San Carlos","Alajuela","San Carlos","Pital","Los Angeles","99","115"
"21","2009","Liceo Rural  Cañon De El Guarco","Los Santos","Cartago","El Guarco","San Isidro","Cañon Guarco","27","48"
"22","2009","Santa Marta","Grande De Terraba","Puntarenas","Buenos Aires","Brunka","Santa Marta","149","129"
"23","2009","Unid. Pedag. Dr.rafael A.calderón","Perez Zeledon","San Jose","Perez Zeledon","San Isidro","Cooperativa","243","227"
"24","2009","Colegio Marista","Alajuela","Alajuela","Alajuela","Alajuela","Barrio La Tropicana","188","199"
"25","2009","La Palmera","San Carlos","Alajuela","San Carlos","Palmera","La Palmera","110","140"
"26","2009","Del Valle","Perez Zeledon","San Jose","Perez Zeledon","San Isidro","Cruz Roja","43","44"
"27","2009","Form.integ. Montecarlo","San Carlos","Alajuela","San Carlos","Aguas Zarcas","Aguas Zarcas","59","74"
"28","2009","Liceo Rural San Andres","Los Santos","San Jose","Leon Cortes","San Andres","San Andres","35","43"
"29","2009","Saint John","Alajuela","Alajuela","Alajuela","Desamparados","Desamparados","186","173"
"30","2009","La Asunción","Perez Zeledon","San Jose","Perez Zeledon","San Isidro","La Pradera","192","241"
"31","2009","Gaston Peralta Carranza","San Carlos","Alajuela","San Carlos","Aguas Zarcas","Los Llanos","177","169"
"32","2009","San Jose","San Jose","San Jose","San Jose","Merced","Barrio Mexico","664","631"
"33","2009","Colegio Santa Teresa","Alajuela","Alajuela","Alajuela","San Jose","Pacto Del Jocote","40","63"
"34","2009","C.t.p. Sardinal","Santa Cruz","Guanacaste","Carrillo","Sardinal","Sardinal","288","343"
